location_name_epydemix,location_name,location_abbreviation,location_code
United_States,United States,US,US
United_States_Alabama,Alabama,AL,01
United_States_Alaska,Alaska,AK,02
United_States_Arizona,Arizona,AZ,04
United_States_Arkansas,Arkansas,AR,05
United_States_California,California,CA,06
United_States_Colorado,Colorado,CO,08
United_States_Connecticut,Connecticut,CT,09
United_States_Delaware,Delaware,DE,10
United_States_District_of_Columbia,District of Columbia,DC,11
United_States_Florida,Florida,FL,12
United_States_Georgia,Georgia,GA,13
United_States_Hawaii,Hawaii,HI,15
United_States_Idaho,Idaho,ID,16
United_States_Illinois,Illinois,IL,17
United_States_Indiana,Indiana,IN,18
United_States_Iowa,Iowa,IA,19
United_States_Kansas,Kansas,KS,20
United_States_Kentucky,Kentucky,KY,21
United_States_Louisiana,Louisiana,LA,22
United_States_Maine,Maine,ME,23
United_States_Maryland,Maryland,MD,24
United_States_Massachusetts,Massachusetts,MA,25
United_States_Michigan,Michigan,MI,26
United_States_Minnesota,Minnesota,MN,27
United_States_Mississippi,Mississippi,MS,28
United_States_Missouri,Missouri,MO,29
United_States_Montana,Montana,MT,30
United_States_Nebraska,Nebraska,NE,31
United_States_Nevada,Nevada,NV,32
United_States_New_Hampshire,New Hampshire,NH,33
United_States_New_Jersey,New Jersey,NJ,34
United_States_New_Mexico,New Mexico,NM,35
United_States_New_York,New York,NY,36
United_States_North_Carolina,North Carolina,NC,37
United_States_North_Dakota,North Dakota,ND,38
United_States_Ohio,Ohio,OH,39
United_States_Oklahoma,Oklahoma,OK,40
United_States_Oregon,Oregon,OR,41
United_States_Pennsylvania,Pennsylvania,PA,42
United_States_Rhode_Island,Rhode Island,RI,44
United_States_South_Carolina,South Carolina,SC,45
United_States_South_Dakota,South Dakota,SD,46
United_States_Tennessee,Tennessee,TN,47
United_States_Texas,Texas,TX,48
United_States_Utah,Utah,UT,49
United_States_Vermont,Vermont,VT,50
United_States_Virginia,Virginia,VA,51
United_States_Washington,Washington,WA,53
United_States_West_Virginia,West Virginia,WV,54
United_States_Wisconsin,Wisconsin,WI,55
United_States_Wyoming,Wyoming,WY,56
